Episode,Reward,Cumulative Reward
1,-110,-110
2,-50,-160
3,-80,-240
4,-30,-270
5,-150,-420
6,-30,-450
7,-60,-510
8,-40,-550
9,-20,-570
10,10,-560
11,50,-510
12,30,-480
13,-20,-500
14,10,-490
15,10,-480
16,50,-430
17,150,-280
18,20,-260
19,130,-130
20,0,-130
21,80,-50
22,120,70
23,50,120
24,120,240
25,70,310
26,160,470
27,20,490
28,10,500
29,100,600
30,50,650
31,60,710
32,30,740
33,70,810
34,10,820
35,50,870
36,30,900
37,30,930
38,100,1030
39,20,1050
40,70,1120
41,90,1210
42,70,1280
43,60,1340
44,50,1390
45,30,1420
46,10,1430
47,130,1560
48,10,1570
49,10,1580
50,30,1610
51,10,1620
52,30,1650
53,30,1680
54,10,1690
55,250,1940
56,70,2010
57,60,2070
58,170,2240
59,50,2290
60,20,2310
61,110,2420
62,40,2460
63,100,2560
64,40,2600
65,80,2680
66,390,3070
67,190,3260
68,40,3300
69,230,3530
70,40,3570
71,110,3680
72,340,4020
73,10,4030
74,190,4220
75,40,4260
76,50,4310
77,10,4320
78,140,4460
79,160,4620
80,270,4890
81,60,4950
82,160,5110
83,100,5210
84,140,5350
85,30,5380
86,90,5470
87,10,5480
88,140,5620
89,80,5700
90,80,5780
91,30,5810
92,50,5860
93,20,5880
94,60,5940
95,60,6000
96,150,6150
97,90,6240
98,80,6320
99,200,6520
100,90,6610
101,50,6660
102,140,6800
103,40,6840
104,70,6910
105,40,6950
106,220,7170
107,20,7190
108,90,7280
109,140,7420
110,20,7440
111,60,7500
112,60,7560
113,110,7670
114,10,7680
115,10,7690
116,140,7830
117,70,7900
118,30,7930
119,90,8020
120,140,8160
121,10,8170
122,120,8290
123,170,8460
124,590,9050
125,30,9080
126,190,9270
127,30,9300
128,140,9440
129,100,9540
130,80,9620
131,110,9730
132,40,9770
133,80,9850
134,100,9950
135,10,9960
136,80,10040
137,140,10180
138,480,10660
139,190,10850
140,150,11000
141,80,11080
142,270,11350
143,70,11420
144,110,11530
145,30,11560
146,180,11740
147,190,11930
148,210,12140
149,40,12180
150,90,12270
151,20,12290
152,190,12480
153,250,12730
154,110,12840
155,20,12860
156,70,12930
157,20,12950
158,140,13090
159,20,13110
160,50,13160
161,40,13200
162,10,13210
163,50,13260
164,20,13280
165,240,13520
166,350,13870
167,30,13900
168,50,13950
169,30,13980
170,80,14060
171,30,14090
172,100,14190
173,200,14390
174,10,14400
175,10,14410
176,50,14460
177,60,14520
178,70,14590
179,140,14730
180,10,14740
181,70,14810
182,10,14820
183,50,14870
184,260,15130
185,60,15190
186,60,15250
187,80,15330
188,70,15400
189,100,15500
190,180,15680
191,90,15770
192,50,15820
193,210,16030
194,60,16090
195,20,16110
196,80,16190
197,210,16400
198,40,16440
199,30,16470
200,90,16560
201,230,16790
202,160,16950
203,30,16980
204,60,17040
205,60,17100
206,310,17410
207,10,17420
208,200,17620
209,120,17740
210,50,17790
211,30,17820
212,150,17970
213,10,17980
214,200,18180
215,290,18470
216,90,18560
217,50,18610
218,120,18730
219,20,18750
220,120,18870
221,160,19030
222,110,19140
223,60,19200
224,90,19290
225,10,19300
226,20,19320
227,80,19400
228,120,19520
229,50,19570
230,40,19610
231,170,19780
232,90,19870
233,140,20010
234,50,20060
235,60,20120
236,20,20140
237,30,20170
238,20,20190
239,40,20230
240,270,20500
241,60,20560
242,60,20620
243,140,20760
244,80,20840
245,300,21140
246,100,21240
247,110,21350
248,10,21360
249,150,21510
250,160,21670
251,60,21730
252,30,21760
253,30,21790
254,20,21810
255,20,21830
256,10,21840
257,160,22000
258,150,22150
259,80,22230
260,50,22280
261,40,22320
262,130,22450
263,40,22490
264,50,22540
265,130,22670
266,40,22710
267,20,22730
268,30,22760
269,100,22860
270,300,23160
271,100,23260
272,130,23390
273,200,23590
274,20,23610
275,20,23630
276,120,23750
277,20,23770
278,220,23990
279,20,24010
280,130,24140
281,10,24150
282,70,24220
283,10,24230
284,160,24390
285,50,24440
286,130,24570
287,140,24710
288,50,24760
289,320,25080
290,170,25250
291,140,25390
292,80,25470
293,50,25520
294,80,25600
295,40,25640
296,30,25670
297,20,25690
298,20,25710
299,60,25770
300,10,25780
301,50,25830
302,140,25970
303,210,26180
304,10,26190
305,110,26300
306,310,26610
307,70,26680
308,60,26740
309,70,26810
310,100,26910
311,230,27140
312,340,27480
313,20,27500
314,80,27580
315,80,27660
316,240,27900
317,100,28000
318,120,28120
319,20,28140
320,200,28340
321,10,28350
322,90,28440
323,60,28500
324,10,28510
325,240,28750
326,40,28790
327,130,28920
328,40,28960
329,270,29230
330,20,29250
331,10,29260
332,10,29270
333,20,29290
334,10,29300
335,120,29420
336,10,29430
337,150,29580
338,30,29610
339,30,29640
340,60,29700
341,30,29730
342,50,29780
343,100,29880
344,90,29970
345,20,29990
346,70,30060
347,140,30200
348,20,30220
349,40,30260
350,10,30270
351,30,30300
352,60,30360
353,20,30380
354,120,30500
355,20,30520
356,40,30560
357,180,30740
358,40,30780
359,80,30860
360,10,30870
361,240,31110
362,90,31200
363,10,31210
364,140,31350
365,240,31590
366,40,31630
367,130,31760
368,50,31810
369,-10,31800
370,160,31960
371,90,32050
372,180,32230
373,200,32430
374,80,32510
375,20,32530
376,90,32620
377,60,32680
378,150,32830
379,40,32870
380,50,32920
381,220,33140
382,110,33250
383,160,33410
384,590,34000
385,170,34170
386,30,34200
387,10,34210
388,240,34450
389,140,34590
390,50,34640
391,20,34660
392,40,34700
393,140,34840
394,10,34850
395,210,35060
396,130,35190
397,330,35520
398,10,35530
399,20,35550
400,70,35620
401,20,35640
402,50,35690
403,140,35830
404,10,35840
405,20,35860
406,30,35890
407,90,35980
408,130,36110
409,50,36160
410,80,36240
411,90,36330
412,130,36460
413,210,36670
414,50,36720
415,40,36760
416,100,36860
417,40,36900
418,50,36950
419,70,37020
420,80,37100
421,10,37110
422,20,37130
423,160,37290
424,20,37310
425,20,37330
426,70,37400
427,20,37420
428,70,37490
429,50,37540
430,80,37620
431,20,37640
432,70,37710
433,70,37780
434,40,37820
435,40,37860
436,60,37920
437,30,37950
438,20,37970
439,10,37980
440,20,38000
441,190,38190
442,400,38590
443,120,38710
444,70,38780
445,120,38900
446,80,38980
447,80,39060
448,10,39070
449,10,39080
450,190,39270
451,80,39350
452,40,39390
453,90,39480
454,40,39520
455,10,39530
456,10,39540
457,100,39640
458,20,39660
459,50,39710
460,40,39750
461,130,39880
462,60,39940
463,50,39990
464,150,40140
465,200,40340
466,100,40440
467,410,40850
468,100,40950
469,30,40980
470,180,41160
471,50,41210
472,120,41330
473,50,41380
474,270,41650
475,20,41670
476,150,41820
477,160,41980
478,150,42130
479,40,42170
480,10,42180
481,10,42190
482,30,42220
483,10,42230
484,40,42270
485,170,42440
486,300,42740
487,160,42900
488,40,42940
489,110,43050
490,120,43170
491,30,43200
492,140,43340
493,130,43470
494,230,43700
495,30,43730
496,10,43740
497,40,43780
498,60,43840
499,140,43980
500,110,44090
